period,country,province,phase,stage,registered_cases,incident_type
21-25/10/2024,Mozambique,Maputo Provincia,1 - 2 Fase,,43,Detencoes
21-25/10/2024,Mozambique,Maputo Cidade,1 - 2 Fase,,3,Mortes
04-05/11/2024,Mozambique,Maputo Cidade,3 Fase,,36,Detencoes
7/11/2024,Mozambique,Maputo Cidade,3 Fase,,126,Detencoes
14/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,2,Detencoes
15/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,12,Detencoes
16-17/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,8,Detencoes
18/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,7,Detencoes
19-20/11/2024,Mozambique,Maputo Cidade,4 Fase,2 Etapa,32,Detencoes
21-25/11/2024,Mozambique,Maputo Cidade,4 Fase,2 Etapa,1,Detencoes
29/11/2024,Mozambique,Maputo Cidade,4 Fase,3 Etapa,2,Detencoes
4/12/2024,Mozambique,Maputo Cidade,4 Fase,4 Etapa,16,Detencoes
05-09/12/2024,Mozambique,Maputo Cidade,4 Fase,4 Etapa,1,Detencoes
10-14/12/2024,Mozambique,Maputo Cidade,4 Fase,4 Etapa,4,Detencoes
23-24/12/2024,Mozambique,Maputo Cidade,V8,,37,Detencoes
25/12/2024,Mozambique,Maputo Cidade,V8,,3,Detencoes
26/12/2024,Mozambique,Maputo Cidade,V8,,1,Detencoes
27-29/12/2024,Mozambique,Maputo Cidade,V8,,5,Detencoes
04-05/11/2024,Mozambique,Maputo Cidade,3 Fase,,9,Baleamentos
7/11/2024,Mozambique,Maputo Cidade,3 Fase,,77,Baleamentos
15/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,4,Baleamentos
16-17/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,1,Baleamentos
18/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,0,Baleamentos
19-20/11/2024,Mozambique,Maputo Cidade,4 Fase,2 Etapa,0,Baleamentos
21-25/11/2024,Mozambique,Maputo Cidade,4 Fase,2 Etapa,2,Baleamentos
27/11/2004,Mozambique,Maputo Cidade,4 Fase,3 Etapa,2,Baleamentos
29/11/2024,Mozambique,Maputo Cidade,4 Fase,3 Etapa,1,Baleamentos
10-14/12/2024,Mozambique,Maputo Cidade,4 Fase,4 Etapa,2,Baleamentos
23-24/12/2024,Mozambique,Maputo Cidade,V8,,15,Baleamentos
25/12/2024,Mozambique,Maputo Cidade,V8,,41,Baleamentos
26/12/2024,Mozambique,Maputo Cidade,V8,,6,Baleamentos
27-29/12/2024,Mozambique,Maputo Cidade,V8,,0,Baleamentos
04-05/11/2024,Mozambique,Maputo Cidade,3 Fase,,1,Mortes
7/11/2024,Mozambique,Maputo Cidade,3 Fase,,5,Mortes
15/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,4,Mortes
16-17/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,1,Mortes
18/11/2024,Mozambique,Maputo Cidade,4 Fase,1 Etapa,0,Mortes
19-20/11/2024,Mozambique,Maputo Cidade,4 Fase,2 Etapa,0,Mortes
10-14/12/2024,Mozambique,Maputo Cidade,4 Fase,4 Etapa,2,Mortes
23-24/12/2024,Mozambique,Maputo Cidade,V8,,1,Mortes
25/12/2024,Mozambique,Maputo Cidade,V8,,3,Mortes
26/12/2024,Mozambique,Maputo Cidade,V8,,32,Mortes
27-29/12/2024,Mozambique,Maputo Cidade,V8,,1,Mortes
04-05/11/2024,Mozambique,Maputo Provincia,3 Fase,,25,Detencoes
7/11/2024,Mozambique,Maputo Provincia,3 Fase,,8,Detencoes
14/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,3,Detencoes
15/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,1,Detencoes
16-17/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,1,Detencoes
18/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,2,Detencoes
19-20/11/2024,Mozambique,Maputo Provincia,4 Fase,2 Etapa,2,Detencoes
21-25/11/2024,Mozambique,Maputo Provincia,4 Fase,2 Etapa,33,Detencoes
29/11/2024,Mozambique,Maputo Provincia,4 Fase,3 Etapa,16,Detencoes
4/12/2024,Mozambique,Maputo Provincia,4 Fase,4 Etapa,1,Detencoes
05-09/12/2024,Mozambique,Maputo Provincia,4 Fase,4 Etapa,2,Detencoes
10-14/12/2024,Mozambique,Maputo Provincia,4 Fase,4 Etapa,10,Detencoes
23-24/12/2024,Mozambique,Maputo Provincia,V8,,2,Detencoes
25/12/2024,Mozambique,Maputo Provincia,V8,,7,Detencoes
26/12/2024,Mozambique,Maputo Provincia,V8,,13,Detencoes
27-29/12/2024,Mozambique,Maputo Provincia,V8,,1,Detencoes
04-05/11/2024,Mozambique,Maputo Provincia,3 Fase,,6,Baleamentos
7/11/2024,Mozambique,Maputo Provincia,3 Fase,,1,Baleamentos
13-14/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,2,Baleamentos
15/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,1,Baleamentos
16-17/11/2024,Mozambique,Maputo Provincia,4 Fase,1 Etapa,0,Baleamentos
